"LANGUAGE","ORIGINAL","ENGLISH","CZECH","GERMAN","RUSSIAN","POLISH","HUNGARIAN","ITALIAN","SPANISH","FRENCH","CHINESE","PORTUGUESE","JAPANESE","CHINESESIMP",
"STR_EXPANSION_AIRDROP_SYSTEM_EVENT","There is an airdrop heading towards %1","There is an airdrop heading towards %1","Výsadek letí napříč %1","Ein Airdrop ist auf dem Weg nach %1 !","Самолёт следует курсом %1","Samolot zmierza w kierunku %1.","Airdop szállítmány érkezik %1 felé","Un airdrop si sta dirigendo verso %1","Hay un airdrop en dirección %1","Un larguage aérien se dirige vers %1","有一個空投前往 %1","Uma Caixa de Suprimentos indo em direção %1.","エアードロップは %1 方面へ向かっています","一架空投飞机正朝向%1",
"STR_EXPANSION_AIRDROP_SYSTEM_EVENT_CLOSE","The airdrop plane is closing in on %1","The airdrop plane is closing in on %1","Výsadek se blíží %1","Das Airdrop-Flugzeug nähert sich %1!","Самолет приближается к %1","Samolot zbliża się do %1.","Az Airdrop repülő közeledik %1 felé","L' airdrop si sta avvicinando a %1","El avion con el airdrop se esta acercando a la posición %1","Le larguage aérien se rapproche de %1","空投飛機正在接近 %1","O Avião de Suprimentos está próximo %1.","エアードロップ輸送機は %1 へ接近中です","空投飞机正在靠近%1",
"STR_EXPANSION_AIRDROP_SYSTEM_EVENT_DROP","The supplies have been dropped around %1","The supplies have been dropped around %1","Výsadek dopadl okolo %1","Die Vorräte wurden in der Nähe von %1 ausgeworfen!","Груз сброшен неподалёку от %1","Zapasy zostały zrzucone w pobliżu %1.","Az Airdrop szállítmány kioldásra került %1 környékén.","I rifornimenti sono stati lanciati a %1","Los suministros han sido lanzados alrededor %1","Les provisions ont été larguées aux alentours de %1","物資已在 %1 周圍投放","O Suprimento foi largado ao redor de %1.","エアードロップ物資は %1 近辺へ投下されました","物资大概被空投在%1",
"STR_EXPANSION_AIRDROP_SYSTEM_TITLE","Airdrop","Airdrop","Výsadek","Airdrop","Сброс груза","Zrzut","Airdrop","Airdrop","Airdrop /or/ Entrega por paracaidas","Larguage aérien","空投","Caixa de Suprimentos","エアードロップ","空投",
"STR_EXPANSION_AIRDROP_TOO_MANY_PLANES","There are too many planes flying, cannot spawn another!","There are too many planes flying, cannot spawn another!","Příliš mnoho letadel ve vzduchu, nelze naspawnovat další!","Es fliegen zu viele Flugzeuge, kein weiteres kann gespawned werden!","Слишком много самолётов в небе, невозможно вызвать новый!","W powietrzu jest zbyt dużo samolotów, spróbuj ponownie za chwilę.","Túl sok repülő van egyszerre az égen, nem tudsz többet lehívni.","Ci sono troppi aerei in volo, non è  possibile spawnarne altri!","Ya hay muchos aviones volando, no se puede crear otro","Il y a trop d'avions en l'air, impossible d'en faire apparaître un autre !","有太多飛機在飛，無法再生成另一架！","Há muitos aviões no céu. Não é possível haver mais.","飛行機が既に多すぎるためこれ以上出現させる事が出来ません！","有太多飞机正在飞行，禁止刷新！",
"STR_EXPANSION_MISSION_AIRDROP_CLOSING_ON","The Airdrop is closing on %1","The Airdrop is closing on %1","Výsadek se blíží na %1","Ein Airdrop kommt %1 nahe","Самолёт приближается к %1","Zrzut zbliża się do %1","The Airdrop is closing on %1","L'airdrop è prossimo a %1","Un suplemento aéreo sé está aproximando a %1","Un larguage aérien se rapproche de %1","空投正在接近 %1","A Caixa de Suprimentos está próxima a %1","エアドロップは %1 に接近中です","空投飞机正在接近%1",
"STR_EXPANSION_MISSION_AIRDROP_CLOSING_ON_PLAYER","The Airdrop is closing on the player.","The Airdrop is closing on the player.","Výsadek se blíží ke hráči.","Die Luft-Frachtlieferung nähert sich einem Spieler.","Самолёт приближается к игроку.","The Airdrop is closing on the player.","The Airdrop is closing on the player.","L'airdrop è prossimo al giocatore","The Airdrop is closing on the player.","The Airdrop is closing on the player.","空投正在接近玩家。","The Airdrop is closing on the player.","The Airdrop is closing on the player.","空投正在接近玩家。",
"STR_EXPANSION_MISSION_AIRDROP_ENDED","The Airdrop at %1 was destroyed by infected.","The Airdrop at %1 was destroyed by infected.","The Airdrop at %1 was destroyed by infected.","Der Airdrop bei %1 wurde von Infizierten zerstört.","Сброшенный груз на %1 был уничтожен зараженными.","The Airdrop at %1 was destroyed by infected.","The Airdrop at %1 was destroyed by infected.","L' Airdrop a %1 è stato distrutto dagli Infetti!","El airdrop en %1 ha sido destruido por los infectados.","L'airdrop à %1 a été détruit par infecté.","在 %1 的空投被感染者摧毀了。","The Airdrop at %1 was destroyed by infected.","The Airdrop at %1 was destroyed by infected.","%1 的空投被丧尸们破坏了。",
"STR_EXPANSION_MISSION_AIRDROP_HEADING_TOWARDS","The Airdrop is heading towards %1","The Airdrop is heading towards %1","Výsadek letí směrem %1","Ein Airdrop ist auf dem Weg zu %1","Самолёт следует курсом %1","Zrzut zmierza w stronę %1","The Airdrop is heading towards %1","L'airdrop si sta dirigendo verso %1","Un suplemento aéreo está dirigido a %1","Un larguage aérien se dirige vers %1","空投正在往 %1 進行","Uma Caixa de Suprimentos está indo em direção %1","エアドロップは %1 方面に向かっています","一架空投飞机正朝向 %1",
"STR_EXPANSION_MISSION_AIRDROP_HEADING_TOWARDS_PLAYER","The Airdrop is heading towards the player.","The Airdrop is heading towards the player.","Výsadek letí směrem k hráčovi.","Der Airdrop bewegt sich auf den Spieler zu.","Самолёт с грузом направляется к игроку.","The Airdrop is heading towards the player.","The Airdrop is heading towards the player.","L'airdrop si sta dirigendo verso il giocatore","The Airdrop is heading towards the player.","The Airdrop is heading towards the player.","空投正在往玩家進行。","The Airdrop is heading towards the player.","The Airdrop is heading towards the player.","空投正朝着玩家前进。",
"STR_EXPANSION_MISSION_AIRDROP_LOOTED","%1 has claimed the airdrop at %2.","%1 has claimed the airdrop at %2.","%1 zajistil/a výsadek na %2.","%1 schnappt sich den Airdrop von %2.","%1 захватил груз %2.","%1 odebrał zrzut w %2.","%1 has claimed the airdrop at %2.","%1 ha reclamato per sé l'airdrop a %2","%1 has claimed the airdrop at %2.","%1 a récupéré l'airdrop à %2.","%1 已經在 %2 領取了空投。","%1 solicitou uma Caixa de Suprimentos em %2.","%1 has claimed the airdrop at %2.","%1 在 %2呼叫了空投。",
"STR_EXPANSION_MISSION_AIRDROP_SUPPLIES_DROPPED","The Airdrop has dropped its supplies on %1","The Airdrop has dropped its supplies on %1","Výsadek padá na %1","Ein Airdrop hat seine Vorräte bei %1 abgeworfen","Груз сброшен неподалёку от %1","Zrzut wylądował z zapasami w %1","The Airdrop has dropped its supplies on %1","L'airdrop ha sganciato i rifornimenti su %1","Un suplemento aéreo ha dejado sus suministros sobre %1","Un larguage aérien a laché ses provisions sur %1","空投已在 %1 投下其供應品","A Caixa de Suprimentos foi largada em %1","エアドロップは %1 近辺に空から投下されました","空投飞机已经在%1投下了补给品",
"STR_EXPANSION_MISSION_AIRDROP_SUPPLIES_DROPPED_PLAYER","The Airdrop has dropped its supplies on the player.","The Airdrop has dropped its supplies on the player.","Výsadek padá na pozici hráče.","Der Airdrop hat seine Vorräte auf den Spieler fallen lassen.","Самолёт сбросил груз над игроком.","The Airdrop has dropped its supplies on the player.","The Airdrop has dropped its supplies on the player.","L'airdrop ha sganciato i riforrnimenti sul giocatore","The Airdrop has dropped its supplies on the player.","The Airdrop has dropped its supplies on the player.","空投已在玩家附近投下其供應品。","The Airdrop has dropped its supplies on the player.","The Airdrop has dropped its supplies on the player.","Airdrop 已将补给品投放到玩家附近。",
"STR_EXPANSION_MISSION_HORDE_SPAWNED","A horde has spawned at %1, go grab the loot!","A horde has spawned at %1, go grab the loot!","Horda se spawnula okolo %1, rychle pro loot!","Eine Horde is aufgetaucht, los hol die Beute!","Орда появилась рядом с %1, вперёд за лутом!","Horda pojawiła się w %1, idź zbierz łup!","A horde has spawned at %1, go grab the loot!","Un Orda è spawnata a %1! Andate a prendervi il loot!","¡Una horda ha aparecido en %1, anda a agarrar el loot!","Une horde est apparue à %1, va chercher l'équipement !","一群感染者已在 %1 出現，去拿取戰利品吧！","Uma horda surgiu em %1, vá rápido pegar o loot!","ゾンビの大群が %1 に沸きましたので早く行ってドロップをゲットしましょう！","物资已经在%1生成，快去抢夺战利品吧！",
"STR_EXPANSION_MISSION_NOTIF_TITLE","Mission: %1","Mission: %1","Mise: %1","Mission: %1","Миссия: %1","Misja: %1","Mission: %1","Missione %1","Misión: %1","Mission: %1","任務：%1","Missão: %1","ミッション：%1","任务：%1",
"STR_EXPANSION_SUPPLY_GRENADE","Supply Signal","Supply Signal","Signál pro zásilky","Versorgungssignal","Сигнальная дымовая граната","Supply Signal","Supply Signal","Segnale di Rifornimento","Señal de Suministros","Signal d'alimentation","補給信號","Supply Signal","Supply Signal","供应信号",
"STR_EXPANSION_SUPPLY_GRENADE_DESC","The Supply Signal is a smoke grenade used for calling an Airdrop.","The Supply Signal is a smoke grenade used for calling an Airdrop.","Kouřový granát, který lze použíit pro označení místa pro air drop.","Das Versorgungssignal ist eine Rauchgranate, mit der ein Airdrop gerufen wird.","Дымовая граната, предназначенная для вызова сброса груза.","The Supply Signal is a smoke grenade used for calling an Airdrop.","The Supply Signal is a smoke grenade used for calling an Airdrop.","Il segnale di Rifornimento è utilizzato per chiamare un Airdrop","La señal de suministro es una granada de humo utilizada para llamar a Airdrop.","Le signal d'approvisionnement est une grenade fumigène utilisée pour appeler un largage aérien.","補給信號是一種煙霧彈，用於呼叫空投。","The Supply Signal is a smoke grenade used for calling an Airdrop.","The Supply Signal is a smoke grenade used for calling an Airdrop.","供应信号是用于呼叫空投的烟雾弹。",
